sesid,run,acqtime_mr,acqtime_task,tdiff
11961_20230725,2,2023-07-25 19:47:17,2023-07-25 19:45:00,-136.894500017166
11965_20230822,1,2023-08-22 17:10:11,2023-08-22 17:07:31,-159.863879919052
11965_20230822,2,2023-08-22 17:16:14,2023-08-22 17:13:34,-159.730380058289
11967_20231104,1,2023-11-04 18:02:48,2023-11-04 17:59:20,-207.943799972534
11967_20231104,2,2023-11-04 18:08:52,2023-11-04 18:05:24,-207.683300018311
11968_20230815,1,2023-08-15 19:32:39,2023-08-15 19:30:03,-156.09008026123
11968_20230815,2,2023-08-15 19:39:30,2023-08-15 19:36:54,-156.090579748154
11972_20230906,1,2023-09-06 14:58:43,2023-09-06 14:55:55,-167.602429866791
11972_20230906,2,2023-09-06 15:04:38,2023-09-06 15:01:58,-160.347429990768
11973_20240102,1,2024-01-02 19:21:51,2024-01-02 19:17:28,-263.071359872818
11973_20240102,2,2024-01-02 19:27:55,2024-01-02 19:23:32,-263.097860097885
11974_20231009,1,2023-10-09 15:03:27,2023-10-09 15:00:16,-191.194169998169
11974_20231009,2,2023-10-09 15:09:31,2023-10-09 15:06:22,-188.483169794083
11975_20231013,1,2023-10-13 12:30:02,2023-10-13 12:26:48,-193.838420152664
11975_20231013,2,2023-10-13 12:36:10,2023-10-13 12:32:52,-197.584419965744
11976_20230928,1,2023-09-28 13:58:45,2023-09-28 13:55:33,-192.534270048141
11976_20230928,2,2023-09-28 14:05:01,2023-09-28 14:01:49,-192.328770160675
11978_20231107,1,2023-11-07 13:11:11,2023-11-07 13:07:45,-206.017800092697
11978_20231107,2,2023-11-07 13:17:13,2023-11-07 13:13:41,-211.810800075531
11979_20231003,1,2023-10-03 14:07:08,2023-10-03 14:03:51,-196.979209899902
11979_20231003,2,2023-10-03 14:14:29,2023-10-03 14:11:10,-199.302709817886
11981_20231109,1,2023-11-09 15:04:53,2023-11-09 15:01:20,-212.823390007019
11981_20231109,2,2023-11-09 15:11:24,2023-11-09 15:07:52,-212.14139008522
11982_20240416,1,2024-04-16 20:00:33,2024-04-16 19:55:02,-331.102339982986
11982_20240416,2,2024-04-16 20:06:40,2024-04-16 20:01:10,-330.469340085983
11983_20231107,1,2023-11-07 21:17:54,2023-11-07 21:14:23,-211.45015001297
11983_20231107,2,2023-11-07 21:24:47,2023-11-07 21:21:15,-211.44764995575
